,Name,Ratings,Price,Features
0,"Apple iPhone 11 (White, 128 GB)","22,711 Ratings & 1,859 Reviews","₹56,999","128 GB ROM,  15.49 cm (6.1 inch) Liquid Retina HD Display,  12MP + 12MP | 12MP Front Camera,  A13 Bionic Chip Processor,  Brand Warranty of 1 Year"
1,"Apple iPhone SE (White, 64 GB) (Includes EarPods, Power Adapter)","82,341 Ratings & 7,185 Reviews","₹35,999","64 GB ROM,  11.94 cm (4.7 inch) Retina HD Display,  12MP Rear Camera | 7MP Front Camera,  A13 Bionic Chip with 3rd Gen Neural Engine Processor,  Water and Dust Resistant (1 meter for Upto 30 minutes, IP67),  Fast Charge Capable,  Wireless charging (Works with Qi Chargers | Qi Chargers are Sold Separately,  Brand Warranty for 1 Year"
2,"Apple iPhone 11 (Purple, 128 GB)","22,711 Ratings & 1,859 Reviews","₹56,999","128 GB ROM,  15.49 cm (6.1 inch) Liquid Retina HD Display,  12MP + 12MP | 12MP Front Camera,  A13 Bionic Chip Processor,  Brand Warranty of 1 Year"
3,"Apple iPhone XR (Black, 64 GB) (Includes EarPods, Power Adapter)","66,807 Ratings & 5,773 Reviews","₹44,999","64 GB ROM,  15.5 cm (6.102 inch) Display,  12MP Rear Camera | 7MP Front Camera,  A12 Bionic Chip Processor,  iOS 13 Compatible,  Brand Warranty of 1 Year"
4,"Apple iPhone 11 (Green, 128 GB)","22,711 Ratings & 1,859 Reviews","₹56,999","128 GB ROM,  15.49 cm (6.1 inch) Liquid Retina HD Display,  12MP + 12MP | 12MP Front Camera,  A13 Bionic Chip Processor,  Brand Warranty of 1 Year"
5,"Apple iPhone 11 (Purple, 64 GB)","22,711 Ratings & 1,859 Reviews","₹51,999","64 GB ROM,  15.49 cm (6.1 inch) Liquid Retina HD Display,  12MP + 12MP | 12MP Front Camera,  A13 Bionic Chip Processor,  Brand Warranty of 1 Year"
6,"Apple iPhone XR (White, 64 GB) (Includes EarPods, Power Adapter)","66,807 Ratings & 5,773 Reviews","₹44,999","64 GB ROM,  15.49 cm (6.1 inch) Display,  12MP Rear Camera | 7MP Front Camera,  A12 Bionic Chip Processor,  iOS 13 Compatible,  Brand Warranty of 1 Year"
7,"Apple iPhone 11 (Black, 128 GB)","22,711 Ratings & 1,859 Reviews","₹56,999","128 GB ROM,  15.49 cm (6.1 inch) Liquid Retina HD Display,  12MP + 12MP | 12MP Front Camera,  A13 Bionic Chip Processor,  Brand Warranty of 1 Year"
8,"Apple iPhone XR (Black, 128 GB) (Includes EarPods, Power Adapter)","66,807 Ratings & 5,773 Reviews","₹49,999","128 GB ROM,  15.49 cm (6.1 inch) Display,  12MP Rear Camera | 7MP Front Camera,  A12 Bionic Chip Processor,  iOS 13 Compatible,  Brand Warranty of 1 Year"
9,"Apple iPhone XR ((PRODUCT)RED, 64 GB) (Includes EarPods, Power Adapter)","66,807 Ratings & 5,773 Reviews","₹44,999","64 GB ROM,  15.49 cm (6.1 inch) Display,  12MP Rear Camera | 7MP Front Camera,  A12 Bionic Chip Processor,  iOS 13 Compatible,  Brand Warranty of 1 Year"
10,"Apple iPhone XR (Coral, 64 GB) (Includes EarPods, Power Adapter)","66,807 Ratings & 5,773 Reviews","₹44,999","64 GB ROM,  15.49 cm (6.1 inch) Display,  12MP Rear Camera | 7MP Front Camera,  A12 Bionic Chip Processor,  iOS 13 Compatible,  Brand Warranty of 1 Year"
11,"Apple iPhone 11 (Black, 64 GB)","22,711 Ratings & 1,859 Reviews","₹51,999","64 GB ROM,  15.49 cm (6.1 inch) Liquid Retina HD Display,  12MP + 12MP | 12MP Front Camera,  A13 Bionic Chip Processor,  Brand Warranty of 1 Year"
12,"Apple iPhone XR (Blue, 64 GB) (Includes EarPods, Power Adapter)","66,807 Ratings & 5,773 Reviews","₹44,999","64 GB ROM,  15.49 cm (6.1 inch) Display,  12MP Rear Camera | 7MP Front Camera,  A12 Bionic Chip Processor,  iOS 13 Compatible,  Brand Warranty of 1 Year"
